per_nom,per_date_debut,per_date_fin,jr_id
matin,10:30:00,12:00:00,1
soir,17:30:00,21:30:00,1
astreinte,00:00:00,00:00:00,1
matin,10:30:00,12:00:00,2
soir,17:30:00,21:30:00,2
astreinte,00:00:00,00:00:00,2
matin,10:30:00,12:00:00,3
soir,17:30:00,21:30:00,3
astreinte,00:00:00,00:00:00,3
matin,10:30:00,12:00:00,4
soir,17:30:00,21:30:00,4
astreinte,00:00:00,00:00:00,4
matin,10:30:00,12:00:00,5
soir,17:30:00,21:30:00,5
astreinte,00:00:00,00:00:00,5
matin,10:30:00,12:00:00,6
soir,17:30:00,21:30:00,6
astreinte,00:00:00,00:00:00,6
matin,10:30:00,12:00:00,7
soir,17:30:00,21:30:00,7
astreinte,00:00:00,00:00:00,7
